RAOB/CSV, Chiang Rai Combination Profile,,,,,,,
INFO:1,example for education,,,,,,,
INFO:2,example for education,,,,,,,
DTG, 2023-03-31 23:50:00,,,,,,,
LAT,20, N,,,,,,
LON,99.9, E,,,,,,
ELEV,389,,,,,,,
TEMPERATURE, C,,,,,,,
MOISTURE, TD,,,,,,,
WIND, kts,,,,,,,
GPM, AGL,,,,,,,
MISSING,-999,,,,,,,
SORT, YES,,,,,,,
RAOB/DATA,,,,,,,,
PRES, TEMP, TD, WIND, SPEED, GPM, VapDen, LiqWat, WSPEED
560.3,-4.6,-19.7,-999,-999,4500,1.2,0,-999
556.7,-4.9,-20.2,-999,-999,4550,1.2,0,-999
553.2,-5.2,-20.7,-999,-999,4600,1.1,0,-999
549.7,-5.4,-21.2,-999,-999,4650,1,0,-999
546.2,-5.7,-21.7,-999,-999,4700,1,0,-999
542.7,-6,-22.3,-999,-999,4750,0.9,0,-999
539.2,-6.3,-22.9,-999,-999,4800,0.9,0,-999
535.8,-6.6,-23.4,-999,-999,4850,0.8,0,-999
532.4,-6.9,-24,-999,-999,4900,0.8,0,-999
529,-7.2,-24.6,-999,-999,4950,0.7,0,-999
525.5,-7.5,-25.2,-999,-999,5000,0.7,0,-999
522.2,-7.8,-25.8,-999,-999,5050,0.7,0,-999
518.9,-8.1,-26.4,-999,-999,5100,0.6,0,-999
515.5,-8.4,-27.1,-999,-999,5150,0.6,0,-999
512.2,-8.7,-27.7,-999,-999,5200,0.5,0,-999
508.9,-9,-28.3,-999,-999,5250,0.5,0,-999
505.6,-9.3,-28.8,-999,-999,5300,0.5,0,-999
502.4,-9.6,-29.3,-999,-999,5350,0.4,0,-999
499.1,-9.9,-29.8,-999,-999,5400,0.4,0,-999
495.9,-10.2,-30.3,-999,-999,5450,0.4,0,-999
492.6,-10.5,-30.7,-999,-999,5500,0.4,0,-999
489.5,-10.8,-31.3,-999,-999,5550,0.4,0,-999
486.3,-11,-31.8,-999,-999,5600,0.3,0,-999
